index,prediction
107576,
107577,40 millimetre
107578,40 millimetre
107579,25 centimetre
107580,25 centimetre
107581,25 centimetre
107582,152.4 metre
107583,18 millimetre
107584,18 millimetre
107585,13 centimetre
107586,
107587,
107588,
107589,
107590,6.5 centimetre
107591,
107592,
107593,21 centimetre
107594,177.2 centimetre
107595,
107596,73 millimetre
107597,73 millimetre
107598,73 millimetre
107599,24 centimetre
107600,12 centimetre
107601,12 centimetre
107602,
107603,46 centimetre
107604,
107605,
107606,
107607,3 metre
107608,125 centimetre
107609,125 centimetre
107610,60 millimetre
107611,
107612,
107613,
107614,
107615,
107616,
107617,
107618,14 centimetre
107619,14 centimetre
107620,3 metre
107621,3 foot
107622,3 foot
107623,3 foot
107624,90 centimetre
107625,4.3 centimetre
107626,4.3 centimetre
107627,24.3 centimetre
107628,300 pound
107629,2.48 inch
107630,
107631,30 centimetre
107632,1.5 centimetre
107633,7 foot
107634,7 foot
107635,23.5 inch
107636,23.5 inch
107637,5.5 inch
107638,5.5 inch
107639,5.5 inch
107640,
107641,
107642,28 centimetre
107643,28 centimetre
107644,6 centimetre
107645,6 centimetre
107646,12.5 centimetre
107647,50 centimetre
107648,24 gram
107649,3.7 inch
107650,3.7 inch
107651,3.9 inch
107652,33 centimetre
107653,9 centimetre
107654,38.5 millimetre
107655,12 centimetre
107656,50 centimetre
107657,50 centimetre
107658,
107659,2.54 pound
107660,5.5 inch
107661,5.5 inch
107662,
107663,
107664,190 centimetre
107665,5.1 inch
107666,40 centimetre
107667,
107668,
107669,50 centimetre
107670,45 millimetre
107671,
107672,
107673,20 centimetre
107674,2.4 metre
107675,2.4 metre
107676,2.4 metre
107677,50 centimetre
107678,50 centimetre
107679,2.4 inch
107680,2.4 inch
107681,
107682,5.16 inch
107683,
107684,30 centimetre
107685,22.5 centimetre
107686,20 centimetre
107687,1.18 inch
107688,1.18 inch
107689,180 millimetre
107690,180 millimetre
107691,120 millimetre
107692,120 millimetre
107693,109.22 centimetre
107694,109.22 centimetre
107695,
107696,72 centimetre
107697,72 centimetre
107698,72 centimetre
107699,3.11 inch
107700,3.11 inch
107701,130 centimetre
107702,130 centimetre
107703,316 millimetre
107704,
107705,26 centimetre
107706,26 centimetre
107707,22.64 inch
107708,
107709,600 watt
107710,3.4 inch
107711,3.4 inch
107712,3.4 inch
107713,12.5 centimetre
107714,72 inch
107715,72 inch
107716,38 centimetre
107717,38 centimetre
107718,20 centimetre
107719,
107720,12 inch
107721,12 inch
107722,12 inch
107723,11 inch
107724,11 inch
107725,104 centimetre
107726,
107727,
107728,3 centimetre
107729,3 centimetre
107730,9.5 centimetre
107731,2 centimetre
107732,4 inch
107733,11 inch
107734,11 inch
107735,24.6 centimetre
107736,40 centimetre
107737,9 inch
107738,9 inch
107739,
107740,
107741,72 inch
107742,72 inch
107743,3.5 inch
107744,3.5 inch
107745,
107746,
107747,6 inch
107748,350 pound
107749,20 metre
107750,
107751,94 millimetre
107752,5.1 inch
107753,5.1 inch
107754,5.1 inch
107755,
107756,
107757,
107758,
107759,8.5 inch
107760,8.5 inch
107761,13.1 centimetre
107762,12 centimetre
107763,5.1 inch
107764,5.1 inch
107765,
107766,40 centimetre
107767,40 centimetre
107768,
107769,2.5 inch
107770,13 centimetre
107771,
107772,13.6 pound
107773,8 centimetre
107774,
107775,
107776,
107777,
107778,
107779,
107780,
107781,12 inch
107782,6.69 inch
107783,6.69 inch
107784,
107785,220 millimetre
